x,y,elevation,banking,w_tr_right_m,w_tr_left_m
149.106033,131.042797,0.0,0.0,4.717,4.867
152.489916,127.363504,0.0,0.0,4.723,4.863
155.874378,123.6848,0.0,0.0,4.729,4.859
159.259063,120.006356,0.0,0.0,4.736,4.855
162.643613,116.327842,0.0,0.0,4.742,4.852
166.027675,112.648929,0.0,0.0,4.748,4.848
169.410891,108.969286,0.0,0.0,4.754,4.844
172.792906,105.288586,0.0,0.0,4.76,4.84
176.173369,101.606501,0.0,0.0,4.767,4.837
179.55212,97.922881,0.0,0.0,4.773,4.833
182.929253,94.237807,0.0,0.0,4.779,4.829
186.304877,90.551373,0.0,0.0,4.785,4.826
189.679106,86.863676,0.0,0.0,4.79,4.824
193.052049,83.174811,0.0,0.0,4.795,4.822
196.423817,79.484874,0.0,0.0,4.801,4.821
199.794522,75.793961,0.0,0.0,4.806,4.819
203.164275,72.102167,0.0,0.0,4.811,4.817
206.533186,68.409589,0.0,0.0,4.817,4.815
209.901367,64.716321,0.0,0.0,4.822,4.813
213.268928,61.02246,0.0,0.0,4.827,4.812
216.635981,57.328102,0.0,0.0,4.832,4.81
220.002637,53.633342,0.0,0.0,4.838,4.808
223.369007,49.938275,0.0,0.0,4.843,4.806
226.735202,46.242999,0.0,0.0,4.848,4.804
230.101332,42.547608,0.0,0.0,4.854,4.803
233.467509,38.852198,0.0,0.0,4.859,4.801
236.833844,35.156865,0.0,0.0,4.864,4.799
240.200448,31.461705,0.0,0.0,4.869,4.797
243.567432,27.766813,0.0,0.0,4.875,4.795
246.934907,24.072285,0.0,0.0,4.88,4.794
250.302984,20.378219,0.0,0.0,4.885,4.792
253.671791,16.684755,0.0,0.0,4.891,4.79
257.041473,12.992094,0.0,0.0,4.896,4.788
260.412179,9.30044,0.0,0.0,4.901,4.786
263.784058,5.61,0.0,0.0,4.906,4.785
267.157258,1.920977,0.0,0.0,4.912,4.783
270.531927,-1.766424,0.0,0.0,4.917,4.781
273.908214,-5.451998,0.0,0.0,4.922,4.779
277.286266,-9.135541,0.0,0.0,4.928,4.777
280.666232,-12.816847,0.0,0.0,4.933,4.776
284.048261,-16.495713,0.0,0.0,4.938,4.774
287.432813,-20.171664,0.0,0.0,4.912,4.786
290.825175,-23.840087,0.0,0.0,4.875,4.804
294.23442,-27.493121,0.0,0.0,4.838,4.821
297.669722,-31.122816,0.0,0.0,4.801,4.839
301.140254,-34.721223,0.0,0.0,4.764,4.856
304.655191,-38.280392,0.0,0.0,4.766,4.783
308.227066,-41.785767,0.0,0.0,4.886,4.437
311.882136,-45.195784,0.0,0.0,4.977,4.113
315.650167,-48.461973,0.0,0.0,4.591,4.144
319.560927,-51.535867,0.0,0.0,4.204,4.175
323.644182,-54.368996,0.0,0.0,4.329,4.193
327.921741,-56.9245,0.0,0.0,4.498,4.209
332.355417,-59.253052,0.0,0.0,4.667,4.226
336.879661,-61.445242,0.0,0.0,4.71,4.31
341.428783,-63.591867,0.0,0.0,4.586,4.484
345.937092,-65.783721,0.0,0.0,4.462,4.658
350.339098,-68.111367,0.0,0.0,4.339,4.833
354.614559,-70.611707,0.0,0.0,4.378,4.752
358.845902,-73.199899,0.0,0.0,4.459,4.607
363.127608,-75.776447,0.0,0.0,4.539,4.463
367.469239,-78.327853,0.0,0.0,4.62,4.318
371.768308,-80.954098,0.0,0.0,4.576,4.355
375.918792,-83.758686,0.0,0.0,4.487,4.459
379.877993,-86.780085,0.0,0.0,4.333,4.633
383.652723,-90.005917,0.0,0.0,4.1,4.892
387.251114,-93.42245,0.0,0.0,4.308,4.695
390.681295,-97.01595,0.0,0.0,4.508,4.506
393.951399,-100.772686,0.0,0.0,4.455,4.576
397.068689,-104.678331,0.0,0.0,4.419,4.638
400.036902,-108.71615,0.0,0.0,4.522,4.635
402.858882,-112.868798,0.0,0.0,4.625,4.632
405.537471,-117.118926,0.0,0.0,4.635,4.649
408.075513,-121.44919,0.0,0.0,4.546,4.687
410.475746,-125.843524,0.0,0.0,4.457,4.724
412.740136,-130.295477,0.0,0.0,4.374,4.758
414.870297,-134.80296,0.0,0.0,4.314,4.778
416.867843,-139.363906,0.0,0.0,4.254,4.799
418.734384,-143.976248,0.0,0.0,4.194,4.819
420.471534,-148.637917,0.0,0.0,4.155,4.793
422.080904,-153.346848,0.0,0.0,4.161,4.669
423.564108,-158.100972,0.0,0.0,4.167,4.546
424.922757,-162.898223,0.0,0.0,4.173,4.423
426.158463,-167.736532,0.0,0.0,4.18,4.315
427.27284,-172.613833,0.0,0.0,4.201,4.301
428.268706,-177.527719,0.0,0.0,4.221,4.286
429.167156,-182.470632,0.0,0.0,4.241,4.272
430.003485,-187.431016,0.0,0.0,4.261,4.258
430.813356,-192.39721,0.0,0.0,4.276,4.342
431.632435,-197.357552,0.0,0.0,4.285,4.525
432.496387,-202.300381,0.0,0.0,4.29,4.658
433.440877,-207.214034,0.0,0.0,4.27,4.524
434.50157,-212.086851,0.0,0.0,4.251,4.39
435.71413,-216.907171,0.0,0.0,4.238,4.245
437.114223,-221.663331,0.0,0.0,4.24,4.075
438.737514,-226.34367,0.0,0.0,4.248,3.951
440.613596,-230.938023,0.0,0.0,4.264,3.888
442.726829,-235.447375,0.0,0.0,4.515,3.902
445.041147,-239.877744,0.0,0.0,4.636,3.968
447.520385,-244.235174,0.0,0.0,4.508,4.103
450.128381,-248.525708,0.0,0.0,4.38,4.239
452.828999,-252.755395,0.0,0.0,4.29,4.298
455.592776,-256.931744,0.0,0.0,4.209,4.34
458.40523,-261.065539,0.0,0.0,4.128,4.382
461.253919,-265.16801,0.0,0.0,4.108,4.38
464.126402,-269.250386,0.0,0.0,4.128,4.349
467.010236,-273.323898,0.0,0.0,4.148,4.319
469.893447,-277.39935,0.0,0.0,4.168,4.288
472.771081,-281.481109,0.0,0.0,4.187,4.257
475.643627,-285.568556,0.0,0.0,4.207,4.226
478.511712,-289.660945,0.0,0.0,4.227,4.195
481.375967,-293.757527,0.0,0.0,4.246,4.164
484.237021,-297.857556,0.0,0.0,4.266,4.134
487.095502,-301.960283,0.0,0.0,4.278,4.125
489.952039,-306.064961,0.0,0.0,4.284,4.135
492.807262,-310.170842,0.0,0.0,4.29,4.146
495.6618,-314.277179,0.0,0.0,4.296,4.157
498.516282,-318.383223,0.0,0.0,4.301,4.168
501.371284,-322.488297,0.0,0.0,4.307,4.179
504.226985,-326.592234,0.0,0.0,4.313,4.19
507.083384,-330.695099,0.0,0.0,4.318,4.2
509.940483,-334.796958,0.0,0.0,4.324,4.211
512.798278,-338.897878,0.0,0.0,4.33,4.222
515.656771,-342.997923,0.0,0.0,4.335,4.233
518.515961,-347.09716,0.0,0.0,4.341,4.244
521.375846,-351.195656,0.0,0.0,4.347,4.255
524.236426,-355.293475,0.0,0.0,4.352,4.266
527.097701,-359.390685,0.0,0.0,4.358,4.276
529.95967,-363.487352,0.0,0.0,4.364,4.287
532.822331,-367.583541,0.0,0.0,4.369,4.298
535.685686,-371.679318,0.0,0.0,4.375,4.309
538.549732,-375.774749,0.0,0.0,4.381,4.32
541.414469,-379.869902,0.0,0.0,4.387,4.331
544.279897,-383.96484,0.0,0.0,4.392,4.342
547.146015,-388.059632,0.0,0.0,4.398,4.352
550.012822,-392.154342,0.0,0.0,4.404,4.363
552.880317,-396.249036,0.0,0.0,4.409,4.374
555.748501,-400.343782,0.0,0.0,4.415,4.385
558.617371,-404.438644,0.0,0.0,4.421,4.396
561.486926,-408.53369,0.0,0.0,4.426,4.407
564.356693,-412.62921,0.0,0.0,4.424,4.415
567.225144,-416.725993,0.0,0.0,4.403,4.416
570.090607,-420.824897,0.0,0.0,4.383,4.417
572.951411,-424.92678,0.0,0.0,4.363,4.419
575.805885,-429.032499,0.0,0.0,4.343,4.42
578.652358,-433.142912,0.0,0.0,4.322,4.422
581.489157,-437.258878,0.0,0.0,4.302,4.423
584.314613,-441.381253,0.0,0.0,4.282,4.424
587.127053,-445.510895,0.0,0.0,4.262,4.426
589.924806,-449.648663,0.0,0.0,4.241,4.427
592.706202,-453.795413,0.0,0.0,4.221,4.429
595.468107,-457.95312,0.0,0.0,4.182,4.548
598.201518,-462.12825,0.0,0.0,4.134,4.721
600.895951,-466.328397,0.0,0.0,4.13,4.795
603.540924,-470.561158,0.0,0.0,4.2,4.693
606.125953,-474.834128,0.0,0.0,4.271,4.591
608.640655,-479.15478,0.0,0.0,4.342,4.489
611.07848,-483.525827,0.0,0.0,4.408,4.434
613.437881,-487.943765,0.0,0.0,4.469,4.425
615.717649,-492.404675,0.0,0.0,4.531,4.417
617.916575,-496.904638,0.0,0.0,4.592,4.409
620.03346,-501.439734,0.0,0.0,4.654,4.4
622.06938,-506.006403,0.0,0.0,4.533,4.504
624.030506,-510.601881,0.0,0.0,4.403,4.613
625.923705,-515.223513,0.0,0.0,4.274,4.721
627.755839,-519.868644,0.0,0.0,4.145,4.83
629.533775,-524.53462,0.0,0.0,4.087,4.873
631.264377,-529.218786,0.0,0.0,4.18,4.778
632.95451,-533.918487,0.0,0.0,4.273,4.684
634.611038,-538.631068,0.0,0.0,4.365,4.59
636.240826,-543.353874,0.0,0.0,4.44,4.522
637.85074,-548.084252,0.0,0.0,4.459,4.536
639.447643,-552.819545,0.0,0.0,4.478,4.55
641.037365,-557.557502,0.0,0.0,4.497,4.564
642.621581,-562.29749,0.0,0.0,4.516,4.578
644.200922,-567.03928,0.0,0.0,4.535,4.592
645.776021,-571.782643,0.0,0.0,4.554,4.605
647.347512,-576.527352,0.0,0.0,4.573,4.619
648.916025,-581.273177,0.0,0.0,4.592,4.633
650.482194,-586.01989,0.0,0.0,4.611,4.647
652.046651,-590.767263,0.0,0.0,4.63,4.661
653.610028,-595.515068,0.0,0.0,4.649,4.675
655.172959,-600.263076,0.0,0.0,4.668,4.689
656.736073,-605.011059,0.0,0.0,4.687,4.703
658.299819,-609.758855,0.0,0.0,4.706,4.716
659.864228,-614.506451,0.0,0.0,4.725,4.73
661.429275,-619.253854,0.0,0.0,4.737,4.739
662.994936,-624.001071,0.0,0.0,4.74,4.742
664.561187,-628.74811,0.0,0.0,4.743,4.745
666.128004,-633.494977,0.0,0.0,4.746,4.748
667.695362,-638.241678,0.0,0.0,4.75,4.751
669.263238,-642.988222,0.0,0.0,4.753,4.754
670.831606,-647.734615,0.0,0.0,4.756,4.757
672.400443,-652.480865,0.0,0.0,4.759,4.76
673.969724,-657.226977,0.0,0.0,4.762,4.763
675.539425,-661.972959,0.0,0.0,4.765,4.766
677.109522,-666.718819,0.0,0.0,4.768,4.769
678.67999,-671.464563,0.0,0.0,4.771,4.772
680.250806,-676.210198,0.0,0.0,4.774,4.775
681.821944,-680.955731,0.0,0.0,4.777,4.778
683.393381,-685.701169,0.0,0.0,4.78,4.781
684.965092,-690.44652,0.0,0.0,4.784,4.784
686.537053,-695.191789,0.0,0.0,4.787,4.787
688.10924,-699.936985,0.0,0.0,4.79,4.79
689.681628,-704.682114,0.0,0.0,4.793,4.793
691.254193,-709.427183,0.0,0.0,4.796,4.796
692.826912,-714.1722,0.0,0.0,4.799,4.799
694.399759,-718.91717,0.0,0.0,4.802,4.802
695.97271,-723.662102,0.0,0.0,4.805,4.805
697.545741,-728.407002,0.0,0.0,4.808,4.808
699.118828,-733.151877,0.0,0.0,4.811,4.811
700.691947,-737.896734,0.0,0.0,4.815,4.814
702.265073,-742.64158,0.0,0.0,4.818,4.817
703.838181,-747.386423,0.0,0.0,4.821,4.82
705.411249,-752.131269,0.0,0.0,4.824,4.823
706.98425,-756.876125,0.0,0.0,4.827,4.826
708.557162,-761.620998,0.0,0.0,4.83,4.829
710.12996,-766.365896,0.0,0.0,4.833,4.832
711.702618,-771.110824,0.0,0.0,4.836,4.835
713.275115,-775.855791,0.0,0.0,4.839,4.838
714.847424,-780.600803,0.0,0.0,4.842,4.841
716.419522,-785.345867,0.0,0.0,4.846,4.844
717.991384,-790.090991,0.0,0.0,4.849,4.847
719.562986,-794.836181,0.0,0.0,4.852,4.85
721.134304,-799.581443,0.0,0.0,4.855,4.853
722.705314,-804.326787,0.0,0.0,4.858,4.856
724.275991,-809.072217,0.0,0.0,4.861,4.859
725.846312,-813.817741,0.0,0.0,4.864,4.862
727.416272,-818.563361,0.0,0.0,4.867,4.865
728.985883,-823.309074,0.0,0.0,4.87,4.868
730.555154,-828.054878,0.0,0.0,4.873,4.871
732.124096,-832.80077,0.0,0.0,4.876,4.874
733.692718,-837.546748,0.0,0.0,4.88,4.877
735.261032,-842.29281,0.0,0.0,4.883,4.88
736.829048,-847.038953,0.0,0.0,4.886,4.883
738.396776,-851.785174,0.0,0.0,4.889,4.886
739.964227,-856.531473,0.0,0.0,4.892,4.889
741.53141,-861.277845,0.0,0.0,4.895,4.892
743.098337,-866.024288,0.0,0.0,4.898,4.895
744.665018,-870.770801,0.0,0.0,4.9,4.896
746.231462,-875.517381,0.0,0.0,4.902,4.895
747.797682,-880.264025,0.0,0.0,4.903,4.894
749.363686,-885.010731,0.0,0.0,4.904,4.893
750.929485,-889.757497,0.0,0.0,4.905,4.893
752.49509,-894.504319,0.0,0.0,4.907,4.892
754.060512,-899.251197,0.0,0.0,4.908,4.891
755.625759,-903.998127,0.0,0.0,4.909,4.89
757.190844,-908.745107,0.0,0.0,4.91,4.889
758.755776,-913.492134,0.0,0.0,4.911,4.888
760.320565,-918.239207,0.0,0.0,4.913,4.887
761.885222,-922.986323,0.0,0.0,4.914,4.886
763.449758,-927.733478,0.0,0.0,4.915,4.885
765.014183,-932.480672,0.0,0.0,4.916,4.884
766.578507,-937.227902,0.0,0.0,4.918,4.884
768.14274,-941.975164,0.0,0.0,4.919,4.883
769.706893,-946.722458,0.0,0.0,4.92,4.882
771.270977,-951.469779,0.0,0.0,4.921,4.881
772.835001,-956.217127,0.0,0.0,4.923,4.88
774.398977,-960.964498,0.0,0.0,4.924,4.879
775.962914,-965.711891,0.0,0.0,4.925,4.878
777.526823,-970.459302,0.0,0.0,4.926,4.877
779.090714,-975.206729,0.0,0.0,4.928,4.876
780.654598,-979.954171,0.0,0.0,4.929,4.875
782.218485,-984.701624,0.0,0.0,4.93,4.875
783.782385,-989.449086,0.0,0.0,4.931,4.874
785.34631,-994.196555,0.0,0.0,4.932,4.873
786.910268,-998.944029,0.0,0.0,4.934,4.872
788.474271,-1003.691504,0.0,0.0,4.935,4.871
790.038329,-1008.438979,0.0,0.0,4.936,4.87
791.602453,-1013.186451,0.0,0.0,4.937,4.869
793.166652,-1017.933918,0.0,0.0,4.939,4.868
794.730938,-1022.681377,0.0,0.0,4.94,4.867
796.29532,-1027.428826,0.0,0.0,4.941,4.866
797.859809,-1032.176263,0.0,0.0,4.942,4.866
799.424415,-1036.923685,0.0,0.0,4.944,4.865
800.98915,-1041.671089,0.0,0.0,4.945,4.864
802.554022,-1046.418474,0.0,0.0,4.946,4.863
804.119043,-1051.165837,0.0,0.0,4.947,4.862
805.684222,-1055.913176,0.0,0.0,4.949,4.861
807.249571,-1060.660487,0.0,0.0,4.95,4.86
808.8151,-1065.40777,0.0,0.0,4.951,4.859
810.380819,-1070.15502,0.0,0.0,4.952,4.858
811.946738,-1074.902237,0.0,0.0,4.953,4.857
813.512868,-1079.649417,0.0,0.0,4.955,4.856
815.079219,-1084.396559,0.0,0.0,4.956,4.856
816.645802,-1089.143659,0.0,0.0,4.957,4.855
818.212627,-1093.890715,0.0,0.0,4.958,4.854
819.779705,-1098.637726,0.0,0.0,4.96,4.853
821.347045,-1103.384688,0.0,0.0,4.961,4.852
822.914658,-1108.131599,0.0,0.0,4.962,4.851
824.482555,-1112.878457,0.0,0.0,4.963,4.85
826.050746,-1117.625259,0.0,0.0,4.965,4.849
827.619241,-1122.372003,0.0,0.0,4.966,4.848
829.188051,-1127.118686,0.0,0.0,4.967,4.847
830.757186,-1131.865307,0.0,0.0,4.968,4.847
832.326656,-1136.611863,0.0,0.0,4.97,4.846
833.896473,-1141.358351,0.0,0.0,4.971,4.845
835.466646,-1146.104768,0.0,0.0,4.972,4.844
837.037185,-1150.851114,0.0,0.0,4.973,4.843
838.608101,-1155.597384,0.0,0.0,4.974,4.842
840.179405,-1160.343577,0.0,0.0,4.976,4.841
841.751107,-1165.089691,0.0,0.0,4.977,4.84
843.323217,-1169.835722,0.0,0.0,4.978,4.839
844.895746,-1174.581669,0.0,0.0,4.979,4.838
846.468704,-1179.32753,0.0,0.0,4.981,4.838
848.042101,-1184.0733,0.0,0.0,4.982,4.837
849.615948,-1188.81898,0.0,0.0,4.983,4.836
851.190255,-1193.564565,0.0,0.0,4.981,4.817
852.765032,-1198.310053,0.0,0.0,4.977,4.789
854.340291,-1203.055443,0.0,0.0,4.973,4.76
855.916041,-1207.800732,0.0,0.0,4.97,4.732
857.492292,-1212.545916,0.0,0.0,4.97,4.735
859.069056,-1217.290995,0.0,0.0,4.977,4.783
860.646342,-1222.035965,0.0,0.0,4.983,4.83
862.224162,-1226.780825,0.0,0.0,4.989,4.877
863.791938,-1231.527852,0.0,0.0,4.85,4.865
